open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1702080000000,44154.13000000,44213.68000000,44154.13000000,44213.68000000,0.05417000,1702080059999,2393.25128400,25,0.03904000,1725.03299980
1702080060000,44208.87000000,44231.49000000,44208.87000000,44229.28000000,0.01871000,1702080119999,827.33008410,15,0.01440000,636.77820250
1702080120000,44217.67000000,44234.47000000,44217.67000000,44234.47000000,0.15685000,1702080179999,6937.91186390,12,0.15569000,6886.61673820
1702080180000,44228.16000000,44234.47000000,44225.00000000,44225.00000000,0.04022000,1702080239999,1778.86735080,10,0.01147000,507.34202080
1702080240000,44225.00000000,44227.72000000,44217.66000000,44227.72000000,0.06342000,1702080299999,2804.37057130,22,0.00110000,48.65048430
1702080300000,44227.72000000,44229.19000000,44217.67000000,44228.94000000,0.02624000,1702080359999,1160.43967030,14,0.01571000,694.82752360
1702080360000,44229.09000000,44251.63000000,44229.09000000,44251.61000000,0.09394000,1702080419999,4155.57920950,22,0.09394000,4155.57920950
1702080420000,44240.39000000,44251.65000000,44231.61000000,44231.61000000,0.04429000,1702080479999,1959.77544730,10,0.01715000,758.81926560
1702080480000,44231.53000000,44231.53000000,44217.94000000,44224.61000000,0.12436000,1702080539999,5500.42002760,20,0.11759000,5201.06457380
1702080540000,44224.57000000,44224.64000000,44217.66000000,44224.63000000,0.02585000,1702080599999,1143.11566850,16,0.01309000,578.89734180
1702080600000,44217.66000000,44217.66000000,44196.28000000,44196.28000000,0.40897000,1702080659999,18082.77355500,28,0.12497000,5525.09742720
1702080660000,44197.79000000,44211.36000000,44180.37000000,44209.26000000,0.02339000,1702080719999,1033.83878590,18,0.01569000,693.49434600
1702080720000,44209.31000000,44228.19000000,44209.31000000,44228.19000000,0.11648000,1702080779999,5149.74215990,5,0.11488000,5079.00726390
1702080780000,44211.29000000,44234.66000000,44211.29000000,44213.61000000,0.01047000,1702080839999,463.11957700,5,0.01036000,458.25621910
1702080840000,44215.23000000,44236.77000000,44215.23000000,44232.22000000,0.04191000,1702080899999,1853.47664760,10,0.02260000,999.67164500
1702080900000,44213.67000000,44218.32000000,44209.26000000,44216.65000000,0.13997000,1702080959999,6188.52497940,11,0.01525000,674.27844820
1702080960000,44213.44000000,44213.44000000,44191.02000000,44207.65000000,0.07306000,1702081019999,3229.75438260,13,0.06341000,2803.23452760
1702081020000,44207.65000000,44207.65000000,44170.55000000,44170.56000000,0.67021000,1702081079999,29611.98343940,18,0.00485000,214.30772680
1702081080000,44185.30000000,44185.33000000,44170.56000000,44185.33000000,0.01809000,1702081139999,799.30569580,14,0.01764000,779.42894380
1702081140000,44185.33000000,44185.33000000,44185.33000000,44185.33000000,0.03128000,1702081199999,1382.11712240,11,0.03128000,1382.11712240
1702081200000,44178.23000000,44180.54000000,44169.99000000,44169.99000000,0.09372000,1702081259999,4139.89634240,14,0.02362000,1043.48312440
1702081260000,44169.99000000,44169.99000000,44149.39000000,44149.39000000,0.07855000,1702081319999,3468.06446210,19,0.00496000,219.07024230
1702081320000,44159.80000000,44161.93000000,44139.46000000,44161.04000000,0.04162000,1702081379999,1837.64574600,17,0.02075000,916.33833400
1702081380000,44139.46000000,44160.51000000,44139.46000000,44160.37000000,0.00861000,1702081439999,380.15348770,4,0.00539000,238.02442650
1702081440000,44160.37000000,44160.37000000,44156.80000000,44156.91000000,0.00838000,1702081499999,370.05243270,3,0.00838000,370.05243270
1702081500000,44156.80000000,44184.66000000,44135.03000000,44184.66000000,0.04969000,1702081559999,2194.12153520,12,0.04300000,1898.85690770
1702081560000,44188.83000000,44216.86000000,44188.83000000,44216.86000000,0.00769000,1702081619999,339.95044510,11,0.00582000,257.31717200
1702081620000,44206.47000000,44237.81000000,44206.40000000,44237.81000000,0.00348000,1702081679999,153.89336710,8,0.00234000,103.49799410
1702081680000,44229.45000000,44238.44000000,44217.45000000,44238.44000000,0.26064000,1702081739999,11528.01798010,12,0.01918000,848.38002310
1702081740000,44219.36000000,44250.72000000,44219.36000000,44250.72000000,0.08930000,1702081799999,3950.42204950,16,0.08375000,3704.98807410
1702081800000,44241.61000000,44270.48000000,44241.61000000,44249.72000000,0.08632000,1702081859999,3820.17007050,105,0.03630000,1606.37833890
1702081860000,44253.80000000,44257.88000000,44253.80000000,44257.01000000,0.08264000,1702081919999,3657.38246860,26,0.01248000,552.30575810
1702081920000,44250.20000000,44250.20000000,44230.46000000,44230.46000000,0.07893000,1702081979999,3491.14118160,7,0.07134000,3155.42608620
1702081980000,44230.46000000,44230.46000000,44230.00000000,44230.00000000,0.41586000,1702082039999,18393.48849000,11,0.00150000,66.34569000
1702082040000,44230.41000000,44230.41000000,44216.87000000,44216.87000000,0.00847000,1702082099999,374.62880140,7,0.00827000,365.78542740
1702082100000,44230.40000000,44230.41000000,44210.86000000,44220.60000000,0.01886000,1702082159999,834.01985070,16,0.00976000,431.64748880
1702082160000,44220.60000000,44221.01000000,44192.64000000,44221.01000000,0.04196000,1702082219999,1855.49287250,21,0.04129000,1825.88380370
1702082220000,44221.01000000,44224.37000000,44199.32000000,44224.37000000,0.03021000,1702082279999,1335.89968550,8,0.01253000,554.02434690
1702082280000,44213.65000000,44242.51000000,44213.65000000,44240.91000000,0.07582000,1702082339999,3354.34247380,7,0.07566000,3347.26828940
1702082340000,44226.37000000,44240.91000000,44211.77000000,44228.90000000,0.03228000,1702082399999,1427.69867690,14,0.02079000,919.68882920
1702082400000,44204.12000000,44228.05000000,44184.68000000,44228.05000000,0.05039000,1702082459999,2227.86719680,19,0.03965000,1753.21216350
1702082460000,44197.34000000,44197.34000000,44180.37000000,44180.38000000,0.01020000,1702082519999,450.76495490,6,0E-8,0E-8
1702082520000,44210.51000000,44211.00000000,44175.97000000,44210.56000000,0.07227000,1702082579999,3194.62427830,39,0.05801000,2564.66300260
1702082580000,44205.00000000,44205.00000000,44200.76000000,44200.76000000,0.29007000,1702082639999,12822.53789080,4,0.00153000,67.62719080
1702082640000,44200.62000000,44200.62000000,44200.62000000,44200.62000000,0.00183000,1702082699999,80.88713460,4,0.00183000,80.88713460
1702082700000,44174.66000000,44199.67000000,44174.60000000,44174.60000000,0.02694000,1702082759999,1190.38512430,13,0.01176000,519.78809080
1702082760000,44197.42000000,44197.42000000,44172.65000000,44174.59000000,0.09244000,1702082819999,4083.56286590,9,0.07931000,3503.55367970
1702082820000,44174.60000000,44211.56000000,44172.67000000,44211.53000000,0.38691000,1702082879999,17091.71203460,14,0.38563000,17035.14573300
1702082880000,44187.15000000,44213.00000000,44187.15000000,44213.00000000,0.34536000,1702082939999,15269.38112760,10,0.34466000,15238.45012260
1702082940000,44196.57000000,44214.36000000,44196.57000000,44214.36000000,0.65888000,1702082999999,29131.05256120,9,0.65828000,29104.53461920
1702083000000,44214.54000000,44232.74000000,44214.54000000,44232.72000000,0.01329000,1702083059999,587.77628100,11,0.00418000,184.89273960
1702083060000,44214.11000000,44232.41000000,44214.10000000,44214.10000000,0.00478000,1702083119999,211.39440850,8,0.00280000,123.85047200
1702083120000,44205.91000000,44221.41000000,44205.91000000,44207.22000000,0.00509000,1702083179999,225.01593380,10,0.00085000,37.57798170
1702083180000,44207.22000000,44207.22000000,44207.22000000,44207.22000000,0E-8,1702083239999,0E-8,0,0E-8,0E-8
1702083240000,44209.31000000,44211.06000000,44190.22000000,44190.23000000,0.01041000,1702083299999,460.07493630,9,0.00264000,116.71684990
1702083300000,44204.84000000,44204.85000000,44190.22000000,44198.59000000,0.01096000,1702083359999,484.45517560,6,0.01088000,480.91995800
1702083360000,44204.80000000,44204.80000000,44184.78000000,44204.80000000,0.00349000,1702083419999,154.27375100,4,0.00344000,152.06451200
1702083420000,44204.79000000,44209.72000000,44204.79000000,44208.80000000,0.00866000,1702083479999,382.84660900,5,0.00866000,382.84660900
1702083480000,44200.58000000,44200.58000000,44185.26000000,44200.55000000,0.00763000,1702083539999,337.24822500,5,0.00750000,331.50414120
1702083540000,44198.17000000,44198.17000000,44172.66000000,44192.14000000,0.00118000,1702083599999,52.14642300,7,0.00086000,38.01005540
1702083600000,44192.14000000,44192.14000000,44170.56000000,44171.38000000,0.03322000,1702083659999,1467.79032910,13,0.01976000,873.23639000
1702083660000,44180.99000000,44180.99000000,44154.08000000,44178.16000000,0.13856000,1702083719999,6120.63097740,20,0.06844000,3023.55526430
1702083720000,44178.16000000,44178.16000000,44150.01000000,44150.01000000,0.03767000,1702083779999,1664.07602360,12,0.03318000,1465.82915500
1702083780000,44176.92000000,44176.92000000,44150.00000000,44150.01000000,0.03192000,1702083839999,1409.27101910,14,0.00009000,3.97592280
1702083840000,44168.25000000,44168.25000000,44150.00000000,44167.19000000,0.02017000,1702083899999,890.55343540,11,0.00273000,120.57725230
1702083900000,44167.12000000,44167.12000000,44123.92000000,44127.97000000,0.74291000,1702083959999,32798.93094910,35,0.00917000,404.90714490
1702083960000,44153.93000000,44164.39000000,44134.82000000,44140.45000000,0.03488000,1702084019999,1540.00992250,20,0.02184000,964.43297470
1702084020000,44140.45000000,44140.45000000,44118.11000000,44118.11000000,0.00775000,1702084079999,341.99810180,12,0E-8,0E-8
1702084080000,44142.87000000,44142.87000000,44110.12000000,44110.12000000,0.03258000,1702084139999,1437.34266110,21,0.00877000,386.95312860
1702084140000,44137.31000000,44137.31000000,44107.08000000,44118.49000000,0.01504000,1702084199999,663.56405640,29,0.00642000,283.32737490
1702084200000,44107.08000000,44117.38000000,44061.97000000,44113.84000000,1.10894000,1702084259999,48891.94566090,101,0.06241000,2751.79165820
1702084260000,44112.38000000,44112.38000000,44071.76000000,44087.52000000,0.03687000,1702084319999,1625.49655090,14,0.02871000,1265.75656950
1702084320000,44087.24000000,44087.24000000,44053.72000000,44053.72000000,0.03933000,1702084379999,1733.35887330,23,0.01334000,588.10984960
1702084380000,44084.14000000,44084.14000000,44034.54000000,44072.61000000,1.77842000,1702084439999,78331.28840340,39,0.04857000,2139.00691140
1702084440000,44072.55000000,44081.11000000,44043.15000000,44081.06000000,0.02882000,1702084499999,1270.26531450,15,0.02878000,1268.50358850
1702084500000,44064.40000000,44095.20000000,44064.40000000,44095.20000000,0.02215000,1702084559999,976.27069560,13,0.02167000,955.11978360
1702084560000,44075.15000000,44099.98000000,44057.07000000,44076.89000000,0.02792000,1702084619999,1230.28637090,11,0.00409000,180.31233170
1702084620000,44051.54000000,44080.82000000,44051.54000000,44068.71000000,0.15673000,1702084679999,6907.39865910,67,0.15401000,6787.57847030
1702084680000,44059.00000000,44077.22000000,44050.53000000,44077.22000000,0.10582000,1702084739999,4663.35215730,43,0.07824000,3448.32226750
1702084740000,44077.22000000,44099.47000000,44062.85000000,44099.47000000,0.04952000,1702084799999,2182.80476230,20,0.02252000,992.98898310
1702084800000,44099.47000000,44099.47000000,44098.99000000,44098.99000000,0.00915000,1702084859999,403.50686250,6,0.00910000,401.30191300
1702084860000,44082.53000000,44086.10000000,44082.53000000,44086.10000000,0.01273000,1702084919999,561.21562460,2,0.01273000,561.21562460
1702084920000,44063.32000000,44086.09000000,44063.32000000,44077.38000000,0.00303000,1702084979999,133.53505140,3,0.00100000,44.08609000
1702084980000,44077.46000000,44101.74000000,44077.46000000,44078.62000000,0.06244000,1702085039999,2752.86230760,10,0.02610000,1151.04663880
1702085040000,44094.03000000,44102.76000000,44094.02000000,44102.76000000,0.02245000,1702085099999,989.99829070,6,0.02245000,989.99829070
1702085100000,44088.17000000,44102.75000000,44088.17000000,44088.18000000,0.02287000,1702085159999,1008.48863170,8,0.01314000,579.51010270
1702085160000,44071.17000000,44090.70000000,44071.07000000,44090.70000000,0.17296000,1702085219999,7622.53607070,11,0.00005000,2.20453500
1702085220000,44090.67000000,44090.67000000,44090.67000000,44090.67000000,0.00771000,1702085279999,339.93906570,1,0.00771000,339.93906570
1702085280000,44090.67000000,44090.67000000,44090.67000000,44090.67000000,0E-8,1702085339999,0E-8,0,0E-8,0E-8
1702085340000,44090.63000000,44090.63000000,44090.63000000,44090.63000000,0.00773000,1702085399999,340.82056990,3,0.00773000,340.82056990
1702085400000,44091.07000000,44091.08000000,44047.58000000,44047.58000000,0.03213000,1702085459999,1415.85082300,18,0.00351000,154.72979020
1702085460000,44065.57000000,44065.57000000,44064.86000000,44064.86000000,0.00337000,1702085519999,148.50032750,5,0.00337000,148.50032750
1702085520000,44064.44000000,44064.44000000,44063.71000000,44063.71000000,0.00468000,1702085579999,206.22015570,2,0.00468000,206.22015570
1702085580000,44063.39000000,44064.85000000,44046.07000000,44064.85000000,0.01777000,1702085639999,783.01606230,8,0.01765000,777.73053390
1702085640000,44064.33000000,44064.33000000,44064.33000000,44064.33000000,0.00024000,1702085699999,10.57543920,2,0.00024000,10.57543920
1702085700000,44064.86000000,44102.15000000,44051.85000000,44081.94000000,0.03331000,1702085759999,1467.71780420,12,0.02290000,1009.13676210
1702085760000,44081.99000000,44102.75000000,44081.99000000,44102.75000000,0.00751000,1702085819999,331.19043060,8,0.00652000,287.54926050
1702085820000,44089.91000000,44102.74000000,44089.91000000,44102.73000000,0.00386000,1702085879999,170.23143890,7,0.00346000,152.59547490
1702085880000,44089.91000000,44102.72000000,44089.91000000,44094.38000000,0.03374000,1702085939999,1487.98468970,8,0.03101000,1367.61923540
1702085940000,44068.26000000,44092.87000000,44065.01000000,44092.20000000,0.47360000,1702085999999,20869.81776630,24,0.00223000,98.30359960
1702086000000,44086.92000000,44086.92000000,44074.21000000,44074.21000000,0.01046000,1702086059999,461.01750760,2,0.01046000,461.01750760
1702086060000,44085.34000000,44102.66000000,44085.34000000,44102.66000000,0.01664000,1702086119999,733.58494860,5,0.01664000,733.58494860
1702086120000,44070.07000000,44098.01000000,44070.07000000,44097.79000000,0.01702000,1702086179999,750.53470170,7,0.01657000,730.70317020
1702086180000,44097.79000000,44097.79000000,44097.79000000,44097.79000000,0E-8,1702086239999,0E-8,0,0E-8,0E-8
1702086240000,44097.69000000,44097.95000000,44076.01000000,44076.06000000,0.01187000,1702086299999,523.24253680,5,0.00100000,44.09769780
1702086300000,44097.94000000,44097.94000000,44097.93000000,44097.93000000,0.00109000,1702086359999,48.06674910,2,0.00109000,48.06674910
1702086360000,44097.94000000,44102.65000000,44097.94000000,44102.64000000,0.00488000,1702086419999,215.20937880,5,0.00488000,215.20937880
1702086420000,44102.65000000,44113.86000000,44090.23000000,44090.23000000,0.27779000,1702086479999,12251.10152350,21,0.25930000,11435.86176680
1702086480000,44094.08000000,44094.08000000,44090.49000000,44091.42000000,0.00552000,1702086539999,243.38289750,4,0E-8,0E-8
1702086540000,44113.83000000,44113.83000000,44113.83000000,44113.83000000,0.00025000,1702086599999,11.02845750,1,0.00025000,11.02845750
1702086600000,44094.00000000,44094.00000000,44094.00000000,44094.00000000,0.00004000,1702086659999,1.76376000,1,0E-8,0E-8
1702086660000,44113.46000000,44113.46000000,44083.36000000,44084.26000000,0.00278000,1702086719999,122.58273460,5,0.00120000,52.92053000
1702086720000,44084.26000000,44104.81000000,44084.26000000,44104.81000000,0.17057000,1702086779999,7519.45931500,6,0.17057000,7519.45931500
1702086780000,44098.87000000,44098.87000000,44090.49000000,44090.49000000,0.20175000,1702086839999,8895.25677650,2,0.00005000,2.20494350
1702086840000,44091.31000000,44091.31000000,44081.38000000,44091.21000000,0.00360000,1702086899999,158.72752140,4,0.00348000,153.43775580
1702086900000,44091.21000000,44091.26000000,44090.99000000,44090.99000000,0.65269000,1702086959999,28777.91480110,10,0.46479000,20493.17644210
1702086960000,44081.48000000,44084.16000000,44081.46000000,44084.16000000,0.05910000,1702087019999,2605.21520480,5,0.00028000,12.34351160
1702087020000,44090.97000000,44109.83000000,44090.97000000,44109.83000000,0.03520000,1702087079999,1552.11647370,16,0.03119000,1375.29496230
1702087080000,44094.17000000,44094.17000000,44094.00000000,44094.00000000,0.01660000,1702087139999,731.96282400,15,0.00640000,282.20268800
1702087140000,44094.01000000,44108.66000000,44089.71000000,44108.53000000,0.07359000,1702087199999,3245.25766260,73,0.02238000,987.15019340
1702087200000,44102.83000000,44125.38000000,44102.83000000,44103.89000000,0.01421000,1702087259999,626.84324220,26,0.00849000,374.55683730
